2026-03-24 01:12:16 [DEBUG] __main__ — [84ad2f70] <- data #53  2900B  seq=50
2026-03-24 01:12:17 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2991489866  action=data
2026-03-24 01:12:17 [DEBUG] __main__ — [84ad2f70] <- data #54  2900B  seq=52
2026-03-24 01:12:17 [DEBUG] __main__ — [84ad2f70] -> #4  31B  seq=3
2026-03-24 01:12:17 [DEBUG] __main__ — [transport:acc2] text-send  len=102  action=data
2026-03-24 01:12:17 [DEBUG] __main__ — [84ad2f70] local EOF
2026-03-24 01:12:17 [DEBUG] __main__ — [transport:acc1] text-send  len=57  action=close
2026-03-24 01:12:18 [INFO] __main__ — DONE 81.19.72.34:443 [84ad2f70] | ↑894B/4f (0.0 КБ/с)  ↓148362B/54f (7.3 КБ/с)  19.9s
2026-03-24 01:12:20 [INFO] __main__ — SOCKS5 → 188.40.167.82:443
2026-03-24 01:12:20 [DEBUG] __main__ — [transport:acc2] text-send  len=80  action=connect
2026-03-24 01:12:20 [DEBUG] __main__ — [transport:acc1] keepalive sent
2026-03-24 01:12:21 [DEBUG] __main__ — [transport:acc2] text-recv  action=ok  id=dbc2c67a
2026-03-24 01:12:21 [DEBUG] __main__ — [dbc2c67a] <- ok
2026-03-24 01:12:21 [INFO] __main__ — tunnel 188.40.167.82:443 [dbc2c67a]  открыт за ~254 мс
2026-03-24 01:12:21 [DEBUG] __main__ — [dbc2c67a] -> #1  517B  seq=0
2026-03-24 01:12:21 [DEBUG] __main__ — [transport:acc1] text-send  len=750  action=data
2026-03-24 01:12:21 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=dbc2c67a
2026-03-24 01:12:21 [DEBUG] __main__ — [dbc2c67a] <- data #1  234B  seq=1
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc2] keepalive sent
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2978766493  action=data
2026-03-24 01:12:22 [DEBUG] __main__ — [dbc2c67a] <- data #2  2900B  seq=0
2026-03-24 01:12:22 [DEBUG] __main__ — [dbc2c67a] -> #2  266B  seq=1
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc2] text-send  len=414  action=data
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=dbc2c67a
2026-03-24 01:12:22 [DEBUG] __main__ — [dbc2c67a] <- data #3  744B  seq=2
2026-03-24 01:12:22 [DEBUG] __main__ — [dbc2c67a] -> #3  55B  seq=2
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc1] text-send  len=134  action=data
2026-03-24 01:12:22 [DEBUG] __main__ — [dbc2c67a] local EOF
2026-03-24 01:12:22 [DEBUG] __main__ — [transport:acc2] text-send  len=57  action=close
2026-03-24 01:12:23 [INFO] __main__ — DONE 188.40.167.82:443 [dbc2c67a] | ↑838B/3f (0.3 КБ/с)  ↓3878B/3f (1.6 КБ/с)  2.4s
2026-03-24 01:12:24 [INFO] __main__ — SOCKS5 → 188.40.167.82:443
2026-03-24 01:12:24 [DEBUG] __main__ — [transport:acc1] text-send  len=80  action=connect
2026-03-24 01:12:25 [DEBUG] __main__ — [transport:acc1] text-recv  action=ok  id=52185204
2026-03-24 01:12:25 [DEBUG] __main__ — [52185204] <- ok
2026-03-24 01:12:25 [INFO] __main__ — tunnel 188.40.167.82:443 [52185204]  открыт за ~279 мс
2026-03-24 01:12:25 [DEBUG] __main__ — [52185204] -> #1  517B  seq=0
2026-03-24 01:12:25 [DEBUG] __main__ — [transport:acc1] text-send  len=750  action=data
2026-03-24 01:12:25 [DEBUG] __main__ — [transport:acc2] text-recv  action=data  id=52185204
2026-03-24 01:12:25 [DEBUG] __main__ — [52185204] <- data #1  234B  seq=1
2026-03-24 01:12:26 [DEBUG] __main__ — [transport:acc1] file-recv  fileId=2980786869  action=data
2026-03-24 01:12:26 [DEBUG] __main__ — [52185204] <- data #2  2900B  seq=0
2026-03-24 01:12:26 [DEBUG] __main__ — [52185204] -> #2  266B  seq=1
2026-03-24 01:12:26 [DEBUG] __main__ — [transport:acc2] text-send  len=414  action=data
2026-03-24 01:12:26 [DEBUG] __main__ — [transport:acc1] text-recv  action=data  id=52185204
2026-03-24 01:12:26 [DEBUG] __main__ — [52185204] <- data #3  744B  seq=2
